id,title,url,points,author,comments,hn_link,scraped_at
48344961,Dav2d,https://jbkempf.com/blog/2026/dav2d/,249,captain_bender,69,https://news.ycombinator.com/item?id=48344961,2026-05-31T15:15:47+00:00
48343683,The Website Specification,https://specification.website/,317,k1m,130,https://news.ycombinator.com/item?id=48343683,2026-05-31T15:15:47+00:00
48343714,London's Free Roof Terraces,https://diamondgeezer.blogspot.com/2026/05/londons-free-roof-terraces.html,177,zeristor,88,https://news.ycombinator.com/item?id=48343714,2026-05-31T15:15:47+00:00
48340411,Domain expertise has always been the real moat,https://www.brethorsting.com/blog/2026/05/domain-expertise-has-always-been-the-real-moat/,737,aaronbrethorst,434,https://news.ycombinator.com/item?id=48340411,2026-05-31T15:15:47+00:00
48341062,Shantell Sans (2023),https://shantellsans.com/process,333,aleda145,40,https://news.ycombinator.com/item?id=48341062,2026-05-31T15:15:47+00:00
48340910,The AV2 Video Standard Has Released (Final v1.0 Specification),https://av2.aomedia.org,284,ksec,127,https://news.ycombinator.com/item?id=48340910,2026-05-31T15:15:47+00:00
48318624,A Gentle Introduction to Lattice-Based Cryptography [pdf],https://cryptography101.ca/wp-content/uploads/lattice-based-cryptography.pdf,125,jayhoon,10,https://news.ycombinator.com/item?id=48318624,2026-05-31T15:15:47+00:00
48318402,I found a seashell in the middle of the desert,https://github.com/Hawzen/I-found-a-seashell-in-the-middle-of-the-desert#i-found-a-seashell-in-the-middle-of-the-desert,370,Hawzen,101,https://news.ycombinator.com/item?id=48318402,2026-05-31T15:15:47+00:00
48306713,Racket v9.2,https://blog.racket-lang.org/2026/05/racket-v9-2.html,208,spdegabrielle,19,https://news.ycombinator.com/item?id=48306713,2026-05-31T15:15:47+00:00
48341932,Mechanical Pencil: An illustrated celebration of the engineering around us,https://mechanical-pencil.com/,139,Muhammad523,17,https://news.ycombinator.com/item?id=48341932,2026-05-31T15:15:47+00:00
48337987,Accenture to acquire Ookla,https://newsroom.accenture.com/news/2026/accenture-to-acquire-ookla-to-strengthen-network-intelligence-and-experience-with-data-and-ai-for-enterprises,308,Garbage,156,https://news.ycombinator.com/item?id=48337987,2026-05-31T15:15:47+00:00
48334854,"Openrsync: An implementation of rsync, by the OpenBSD team",https://github.com/kristapsdz/openrsync,448,sph,168,https://news.ycombinator.com/item?id=48334854,2026-05-31T15:15:47+00:00
48341578,Microsoft Office 2019 and 2021 for Mac view-only conversion,https://consumerrights.wiki/w/Microsoft_Office_2019_and_2021_for_Mac_view-only_conversion_(2026),941,antipurist,334,https://news.ycombinator.com/item?id=48341578,2026-05-31T15:15:47+00:00
