id,title,url,points,author,comments,hn_link,scraped_at
49070985,Kimi-K3 Technical Report [pdf],https://github.com/MoonshotAI/Kimi-K3/blob/main/k3_tech_report.pdf,148,vinhnx,25,https://news.ycombinator.com/item?id=49070985,2026-07-27T16:13:00+00:00
49065752,Kimi-K3 Releases on HuggingFace 7/27,https://huggingface.co/moonshotai/Kimi-K3,867,nateb2022,373,https://news.ycombinator.com/item?id=49065752,2026-07-27T16:13:00+00:00
49067301,Removing React.js from the codebase and adapting Htmx for UI interactivity (2023),https://misago-project.org/t/removing-reactjs-from-the-codebase-and-adapting-htmx-for-ui-interactivity/1267/,118,Ralfp,73,https://news.ycombinator.com/item?id=49067301,2026-07-27T16:13:00+00:00
49070427,Apple Will 'Watch Everything Burn' When the AI Bubble Bursts,https://www.macrumors.com/2026/07/27/ed-zitron-apple-watch-it-burn-ai-bubble-bursts/,128,thm,76,https://news.ycombinator.com/item?id=49070427,2026-07-27T16:13:00+00:00
49067854,How is the Bun Rewrite in Rust going?,https://lockwood.dev/ai/2026/07/27/how-is-the-bun-rewrite-in-rust-going.html,295,tomlockwood,209,https://news.ycombinator.com/item?id=49067854,2026-07-27T16:13:00+00:00
49063754,PGSimCity - How PostgreSQL Works,https://nikolays.github.io/PGSimCity/,808,jonbaer,77,https://news.ycombinator.com/item?id=49063754,2026-07-27T16:13:00+00:00
49069132,Should you wash your solar panels?,https://incoherency.co.uk/blog/stories/should-you-wash-your-solar-panels.html,113,surprisetalk,83,https://news.ycombinator.com/item?id=49069132,2026-07-27T16:13:00+00:00
49009706,"Magnolias Are So Old That They're Pollinated by Beetles, Not Bees",https://mymodernmet.com/magnolia-ancient-flowers-beetles/,192,speckx,76,https://news.ycombinator.com/item?id=49009706,2026-07-27T16:13:00+00:00
49021270,Show HN: Physically accurate black hole you can put in your room,https://blackhole.plav.in,426,aplavin,153,https://news.ycombinator.com/item?id=49021270,2026-07-27T16:13:00+00:00
49063175,"Scriptc by Vercel: TypeScript-to-Native compiler, no JavaScript engine in binary",https://github.com/vercel-labs/scriptc,237,maxloh,133,https://news.ycombinator.com/item?id=49063175,2026-07-27T16:13:00+00:00
49060856,"Decker, a platform that builds on the legacy of Hypercard and classic macOS",https://beyondloom.com/decker/,354,tosh,86,https://news.ycombinator.com/item?id=49060856,2026-07-27T16:13:00+00:00
49068738,AI companies are shredding rare books,https://twitter.com/HedgieMarkets/status/2081534588485296565,574,anon373839,330,https://news.ycombinator.com/item?id=49068738,2026-07-27T16:13:00+00:00
49063022,US citizen charged after GrapheneOS phone wipes during airport search,https://www.techspot.com/news/113236-us-prosecutors-charge-atlanta-man-after-grapheneos-phone.html,1102,eecc,833,https://news.ycombinator.com/item?id=49063022,2026-07-27T16:13:00+00:00
49062291,We have proof automation now,https://www.imperialviolet.org/2026/07/26/zstd-lean.html,213,zdw,98,https://news.ycombinator.com/item?id=49062291,2026-07-27T16:13:00+00:00
49060724,Introduction to Data-Oriented Design [pdf],https://www.gamedevs.org/uploads/introduction-to-data-oriented-design.pdf,230,tosh,59,https://news.ycombinator.com/item?id=49060724,2026-07-27T16:13:00+00:00
