id,title,url,points,author,comments,hn_link,scraped_at
49613262,On the Navier–Stokes Millennium Prize Problem,https://openai.com/index/navier-stokes-solution/,140,tedsanders,75,https://news.ycombinator.com/item?id=49613262,2026-09-08T17:42:00+00:00
49611251,Google DeepMind Releases AlphaGenome Atlas,https://blog.google/innovation-and-ai/models-and-research/google-deepmind/alphagenome-atlas/,219,utiiiD,48,https://news.ycombinator.com/item?id=49611251,2026-09-08T17:42:00+00:00
49610181,DaVinci Resolve 21.1,https://www.blackmagicdesign.com/media/release/20260908-03,231,tosh,95,https://news.ycombinator.com/item?id=49610181,2026-09-08T17:42:00+00:00
49610059,Show HN: Copperhead – Hardware as Fast as Software,https://copperhead.sh/,143,animeshchouhan,52,https://news.ycombinator.com/item?id=49610059,2026-09-08T17:42:00+00:00
49612329,LG TVs caught spying even when offline or on standby,https://www.theverge.com/tech/991190/lg-tv-spying-standby-recording-wi-fi-scanning-gamers-nexus,138,sbulaev,48,https://news.ycombinator.com/item?id=49612329,2026-09-08T17:42:00+00:00
49611051,The two Christian saints who are the Buddha,https://signoregalilei.com/2026/08/30/the-two-christian-saints-who-are-secretly-the-buddha/,106,surprisetalk,44,https://news.ycombinator.com/item?id=49611051,2026-09-08T17:42:00+00:00
49610900,Paramount Caught Using 'Astroturf' Group to Drum Up Fake Support for Merger,https://www.techdirt.com/2026/09/08/paramount-caught-using-astroturf-group-to-drum-up-fake-support-for-merger/,181,hn_acker,56,https://news.ycombinator.com/item?id=49610900,2026-09-08T17:42:00+00:00
49610988,DHS 'Predictive Policing' Unit Is Analyzing Americans' Financial Habits,https://www.404media.co/a-secretive-dhs-predictive-policing-unit-is-analyzing-americans-financial-habits-and-pulling-them-over/,192,abraham,76,https://news.ycombinator.com/item?id=49610988,2026-09-08T17:42:00+00:00
49608023,Getting your hands dirty is good for you,https://www.bbc.com/future/article/20260904-how-getting-your-hands-dirty-boosts-your-health-within-weeks,162,HatchedLake721,138,https://news.ycombinator.com/item?id=49608023,2026-09-08T17:42:00+00:00
49604870,"There's a new ""Google Jail"" for independent wikis",https://weirdgloop.org/blog/google-jail,432,pizzaiolo,178,https://news.ycombinator.com/item?id=49604870,2026-09-08T17:42:00+00:00
49607991,Antiquated HTML Snippets and Artefacts,https://vale.rocks/posts/html-relics,191,patadune,60,https://news.ycombinator.com/item?id=49607991,2026-09-08T17:42:00+00:00
49605915,Navier-Stokes – Tristan Buckmaster [pdf],https://cims.nyu.edu/~tristanb/statement.pdf,502,procedurecall,295,https://news.ycombinator.com/item?id=49605915,2026-09-08T17:42:00+00:00
