id,title,url,points,author,comments,hn_link,scraped_at
49285244,DeepSeek Harness,https://github.com/deepseek-ai/deepseek-harness,175,bjin,75,https://news.ycombinator.com/item?id=49285244,2026-08-13T14:52:14+00:00
49284774,Deutsche Bank becomes first foreign yuan clearing bank in Europe,https://tradersunion.com/news/central-banks/show/2973571-deutsche-bank-becomes/,216,Markoff,247,https://news.ycombinator.com/item?id=49284774,2026-08-13T14:52:14+00:00
49281916,ChatGPT Desktop (Codex Desktop) for Linux,https://openai.com/codex/,323,allanrbo,223,https://news.ycombinator.com/item?id=49281916,2026-08-13T14:52:14+00:00
49274600,DeepSeek V4 Pro 0813,https://openrouter.ai/deepseek/deepseek-v4-pro-0813,998,explosion-s,428,https://news.ycombinator.com/item?id=49274600,2026-08-13T14:52:14+00:00
49272832,Tracking down the 16-year-old WAL-reset SQLite bug,https://tailscale.com/blog/sqlite-wal-reset-bug,1131,ropbear,216,https://news.ycombinator.com/item?id=49272832,2026-08-13T14:52:14+00:00
49273478,Qwen3.8-2.4T,https://huggingface.co/Qwen/Qwen3.8-2.4T-A95B,689,Philpax,161,https://news.ycombinator.com/item?id=49273478,2026-08-13T14:52:14+00:00
49276574,Delta,https://zed.dev/blog/introducing-delta,622,khy,227,https://news.ycombinator.com/item?id=49276574,2026-08-13T14:52:14+00:00
49279928,Principia Mathematica is modern and insightful,https://okmij.org/ftp/Computation/Impressions/PrincipiaMathematica.html,236,matt_d,112,https://news.ycombinator.com/item?id=49279928,2026-08-13T14:52:14+00:00
49270726,uBlock Origin Is Giving Up the Fight to Keep Ads Off Facebook,https://digitalescapetools.com/2026/08/ublock-origin-stops-chasing-facebook-ads.html,645,Markoff,784,https://news.ycombinator.com/item?id=49270726,2026-08-13T14:52:14+00:00
