id,title,url,points,author,comments,hn_link,scraped_at
48181125,We stopped AI bot spam in our GitHub repo using Git's –author flag,https://archestra.ai/blog/only-responsible-ai,132,ildari,44,https://news.ycombinator.com/item?id=48181125,2026-05-18T16:45:34+00:00
48179677,Show HN: Files.md – Open-source alternative to Obsidian,https://github.com/zakirullin/files.md,267,zakirullin,158,https://news.ycombinator.com/item?id=48179677,2026-05-18T16:45:34+00:00
48163389,The Quiet Renovation at Bitwarden,https://blog.ppb1701.com/the-quiet-renovation-at-bitwarden,146,DaSHacka,65,https://news.ycombinator.com/item?id=48163389,2026-05-18T16:45:34+00:00
48179183,'We mould trees to grow into the shape of chairs',https://www.bbc.co.uk/news/articles/cvg0yy3gp71o,132,bauc,34,https://news.ycombinator.com/item?id=48179183,2026-05-18T16:45:34+00:00
48180091,"Actually, democracy dies in H.R.",https://www.nytimes.com/2026/05/18/world/americas/actually-democracy-dies-in-hr.html,121,mitchbob,80,https://news.ycombinator.com/item?id=48180091,2026-05-18T16:45:34+00:00
48178692,Linux security mailing list 'almost unmanageable',https://www.theregister.com/security/2026/05/18/linus-torvalds-says-ai-powered-bug-hunters-have-made-linux-security-mailing-list-almost-entirely-unmanageable/5241633,142,jonbaer,66,https://news.ycombinator.com/item?id=48178692,2026-05-18T16:45:34+00:00
48175140,It is time to give up the dualism introduced by the debate on consciousness,https://www.noemamag.com/there-is-no-hard-problem-of-consciousness/,215,ahalbert4,555,https://news.ycombinator.com/item?id=48175140,2026-05-18T16:45:34+00:00
48173429,GenCAD,https://gencad.github.io/,406,dagenix,110,https://news.ycombinator.com/item?id=48173429,2026-05-18T16:45:34+00:00
48179029,"Enough with the AI FOMO, go slow-mo, says Domo CDO",https://www.theregister.com/ai-ml/2026/05/17/enough-with-the-ai-fomo-go-slow-mo-says-domo-cdo/5240840,113,Bender,55,https://news.ycombinator.com/item?id=48179029,2026-05-18T16:45:34+00:00
48178184,Show HN: Auto-identity-remove – Automated data broker opt-out runner for macOS,https://github.com/stephenlthorn/auto-identity-remove,300,stephenlthorn,122,https://news.ycombinator.com/item?id=48178184,2026-05-18T16:45:34+00:00
48155450,Crystals found inside wreckage from the first nuclear bomb test,https://www.scientificamerican.com/article/strange-crystals-found-inside-wreckage-from-the-first-nuclear-bomb-test/,143,jumploops,66,https://news.ycombinator.com/item?id=48155450,2026-05-18T16:45:34+00:00
48169874,Show HN: Semble – Code search for agents that uses 98% fewer tokens than grep,https://github.com/MinishLab/semble,403,Bibabomas,135,https://news.ycombinator.com/item?id=48169874,2026-05-18T16:45:34+00:00
48152754,Ask an Astronaut: 333 hours of Q&A footage with astronauts,https://askanastronaut.issinrealtime.org/,184,gaws,22,https://news.ycombinator.com/item?id=48152754,2026-05-18T16:45:34+00:00
48151251,Jank now has its own custom IR,https://jank-lang.org/blog/2026-05-08-optimization/,197,DASD,38,https://news.ycombinator.com/item?id=48151251,2026-05-18T16:45:34+00:00
48179021,AI eats the world (Spring 26) [pdf],https://static1.squarespace.com/static/50363cf324ac8e905e7df861/t/6a0af5d0484fbf5fe9a7743e/1779103184855/2026-Spring-AI.pdf,147,topherjaynes,77,https://news.ycombinator.com/item?id=48179021,2026-05-18T16:45:34+00:00
