id,title,url,points,author,comments,hn_link,scraped_at
49684393,Astra and Fable still hack on simple variants of alignment evals from 2025,https://www.lesswrong.com/posts/munJKF7iWMsWJLAH2/astra-and-fable-still-hack-on-simple-variants-of-alignment,148,Levitating,53,https://news.ycombinator.com/item?id=49684393,2026-09-13T17:11:29+00:00
49681152,JetKVM Mini,https://jetkvm.com/blog/introducing-jetkvm-mini,382,taubek,148,https://news.ycombinator.com/item?id=49681152,2026-09-13T17:11:29+00:00
49638071,Reverse engineering my e-scooter and rewriting the firmware in Rust,https://bensimms.moe/reverse-engineering-scooter/,162,vinhnx,48,https://news.ycombinator.com/item?id=49638071,2026-09-13T17:11:29+00:00
49678969,"Why are AI agents lying, cheating and coordinating?",https://yoshuabengio.org/en/publication/why-are-ai-agents-lying-cheating-and-coordinating,471,jonifico,554,https://news.ycombinator.com/item?id=49678969,2026-09-13T17:11:29+00:00
49681545,Homebrew 7.0.0,https://brew.sh/2026/09/13/homebrew-7.0.0/,404,mikemcquaid,157,https://news.ycombinator.com/item?id=49681545,2026-09-13T17:11:29+00:00
49674050,Make your first edit to OpenStreetMap,https://high5apps.github.io/josm-plugin-website-wizard/,551,juliantigler,135,https://news.ycombinator.com/item?id=49674050,2026-09-13T17:11:29+00:00
49679643,Aligned to whom?,https://hyperbo.la/w/aligned-to-whom/,144,lopopolo,87,https://news.ycombinator.com/item?id=49679643,2026-09-13T17:11:29+00:00
49679459,The Interim Computer Museum,https://icm.museum/,152,mulmen,19,https://news.ycombinator.com/item?id=49679459,2026-09-13T17:11:29+00:00
49640913,I Added a Non-Wi-Fi Mitsubishi AC to Home Assistant,https://medium.com/@ivangomezarnedo/how-i-added-a-non-wi-fi-mitsubishi-ac-to-home-assistant-22770661dd77,143,ichacas,67,https://news.ycombinator.com/item?id=49640913,2026-09-13T17:11:29+00:00
49619848,Apple iPod Engraver (2019),https://dunstanorchard.com/apple-ipod-engraver/,266,NaOH,71,https://news.ycombinator.com/item?id=49619848,2026-09-13T17:11:29+00:00
49682087,Revolut confirms customer data breach through fake government requests,https://techcrunch.com/2026/09/12/revolut-confirms-customer-data-breach-through-fake-government-requests/,143,tdrz,97,https://news.ycombinator.com/item?id=49682087,2026-09-13T17:11:29+00:00
49677577,Don't be the out of touch Kung Fu master,https://twitter.com/ID_AA_Carmack/status/2098443262214230095,220,dsubburam,305,https://news.ycombinator.com/item?id=49677577,2026-09-13T17:11:29+00:00
49673098,Nvidia is the central bank of AI,https://www.economist.com/interactive/briefing/2026/09/03/nvidia-is-the-central-bank-of-ai,538,tolugenius,384,https://news.ycombinator.com/item?id=49673098,2026-09-13T17:11:29+00:00
49625056,Stabilizing Rust's Never Type,https://lwn.net/SubscriberLink/1091015/d9e48318ed242b41/,232,cjd8,90,https://news.ycombinator.com/item?id=49625056,2026-09-13T17:11:29+00:00
