id,title,url,points,author,comments,hn_link,scraped_at
48819244,Microsoft Fire IdTech Team at Id Software,https://gamefromscratch.com/microsoft-fire-idtech-team-at-id-software/,146,bauc,91,https://news.ycombinator.com/item?id=48819244,2026-07-07T16:26:35+00:00
48816883,"StreetComplete: Fixing OpenStreetMap, one tiny quest at a time",https://streetcomplete.app/,316,kls0e,65,https://news.ycombinator.com/item?id=48816883,2026-07-07T16:26:35+00:00
48816956,A better way to tie your gym shorts. (Or any drawstring) [video],https://www.youtube.com/watch?v=3R0Lp86GEBk,249,surprisetalk,94,https://news.ycombinator.com/item?id=48816956,2026-07-07T16:26:35+00:00
48816959,98% Isn't Much,https://whynothugo.nl/journal/2026/07/03/98-isnt-very-much/,304,speckx,231,https://news.ycombinator.com/item?id=48816959,2026-07-07T16:26:35+00:00
48816612,Europe's company websites are mostly served by US vendors,https://ciphercue.com/blog/european-web-hosting-vendor-share-2026,182,adulion,131,https://news.ycombinator.com/item?id=48816612,2026-07-07T16:26:35+00:00
48819008,Chat Control passed first round in EU Parliament,https://www.heise.de/en/news/Showdown-in-Strasbourg-The-unexpected-return-of-Chat-Control-1-0-11356680.html,145,miroljub,70,https://news.ycombinator.com/item?id=48819008,2026-07-07T16:26:35+00:00
48816003,Top researchers leave USA for the Netherlands (in Dutch),https://www.nwo.nl/nieuws/eerste-internationale-wetenschappers-via-het-tulp-fonds-naar-nederland,260,28304283409234,196,https://news.ycombinator.com/item?id=48816003,2026-07-07T16:26:35+00:00
48808482,OpenWrt One – Open Hardware Router,https://openwrt.org/toh/openwrt/one,771,peter_d_sherman,289,https://news.ycombinator.com/item?id=48808482,2026-07-07T16:26:35+00:00
48808928,CoMaps – FOSS Offline Maps,https://www.comaps.app/,717,basilikum,174,https://news.ycombinator.com/item?id=48808928,2026-07-07T16:26:35+00:00
48812156,How to sequence your own DNA at home,https://bradleywoolf.com/links-1/sequencing-my-own-dna-at-home,339,bilsbie,125,https://news.ycombinator.com/item?id=48812156,2026-07-07T16:26:35+00:00
48812055,Small AI Models Gain Traction In places with unreliable networks,https://spectrum.ieee.org/small-language-models-ai-pharmaceuticals,242,sscaryterry,73,https://news.ycombinator.com/item?id=48812055,2026-07-07T16:26:35+00:00
48809877,GLM 5.2 and the coming AI margin collapse,https://martinalderson.com/posts/the-upcoming-ai-margin-collapse-part-1-glm-5-2/,627,martinald,402,https://news.ycombinator.com/item?id=48809877,2026-07-07T16:26:35+00:00
48813929,The Art of Computer Programming by Donald E. Knuth,https://www-cs-faculty.stanford.edu/~knuth/taocp.html,142,archargelod,42,https://news.ycombinator.com/item?id=48813929,2026-07-07T16:26:35+00:00
48815196,Microsoft Can Track Users via a Windows Device ID,https://www.pcmag.com/news/a-hackers-arrest-reveals-microsoft-can-track-users-via-a-windows-device,272,ifh-hn,113,https://news.ycombinator.com/item?id=48815196,2026-07-07T16:26:35+00:00
48811591,Fable turned reMarkable into Tom Riddle's diary from Harry Potter,https://github.com/MaximeRivest/Riddle,590,modinfo,363,https://news.ycombinator.com/item?id=48811591,2026-07-07T16:26:35+00:00
48817017,Dua Lipa opens library for banned and censored books in Portugal,https://www.euronews.com/culture/2026/06/29/dua-lipa-opens-library-for-banned-and-censored-books-in-portugal,183,pax,160,https://news.ycombinator.com/item?id=48817017,2026-07-07T16:26:35+00:00
48786124,Dolosse – a South African invention used over the world,https://thisbugslife.com/2021/11/21/dolosse-a-south-african-invention-used-over-the-world/,113,andsoitis,28,https://news.ycombinator.com/item?id=48786124,2026-07-07T16:26:35+00:00
48811644,Ternlight – 7 MB embedding model that runs in browser (WASM),https://ternlight-demo.vercel.app/,303,soycaporal,60,https://news.ycombinator.com/item?id=48811644,2026-07-07T16:26:35+00:00
48808002,A global workspace in language models,https://www.anthropic.com/research/global-workspace,429,in-silico,173,https://news.ycombinator.com/item?id=48808002,2026-07-07T16:26:35+00:00
48804993,Resetting Xbox,https://news.xbox.com/en-us/2026/07/06/resetting-xbox/,709,dijksterhuis,852,https://news.ycombinator.com/item?id=48804993,2026-07-07T16:26:35+00:00
48805624,AMD Ryzen AI Halo – $4k AI Dev Kit,https://www.lttlabs.com/articles/2026/07/06/amd-ryzen-ai-halo,369,LabsLucas,241,https://news.ycombinator.com/item?id=48805624,2026-07-07T16:26:35+00:00
