id,title,url,points,author,comments,hn_link,scraped_at
49586171,QBittorrent breaks out of sandbox to commit crimes,https://beige.party/@intransitivelie/117057396732763183,382,mraniki,65,https://news.ycombinator.com/item?id=49586171,2026-09-06T16:40:25+00:00
49585644,Intellectual Fly Is Open (2025),https://bcantrill.dtrace.org/2025/12/05/your-intellectual-fly-is-open/,282,cyb0rg0,155,https://news.ycombinator.com/item?id=49585644,2026-09-06T16:40:25+00:00
49584083,Isar Aerospace reaches orbit and deploys payloads on second flight,https://isaraerospace.com/press/history-for-european-spaceflight-isar-aerospace-reaches-orbit-and-deploys-payloads-on-second-flight,414,mpweiher,121,https://news.ycombinator.com/item?id=49584083,2026-09-06T16:40:25+00:00
49586898,A/I shuts down – Stay human,https://keepitfree.ai/announcements/a/i-shuts-down-stay-human/,246,captainmuon,134,https://news.ycombinator.com/item?id=49586898,2026-09-06T16:40:25+00:00
49585627,Doomscrolling Ourselves to Death,https://www.edwest.co.uk/p/doomscrolling-ourselves-to-death,215,shubhamjain,140,https://news.ycombinator.com/item?id=49585627,2026-09-06T16:40:25+00:00
49531619,M-DISC – DVD/Blu-ray compatible discs that may last up to 1000 years,https://en.wikipedia.org/wiki/M-DISC,129,gurjeet,49,https://news.ycombinator.com/item?id=49531619,2026-09-06T16:40:25+00:00
49586698,Asahi Linux Now Officially Supports Apple M3 Macs – With Caveats,https://www.phoronix.com/news/Asahi-Linux-Official-M3,115,mdp2021,58,https://news.ycombinator.com/item?id=49586698,2026-09-06T16:40:25+00:00
49587128,I Feel about AI,https://beza1e1.tuxen.de/ai_feelings.html,119,qznc,117,https://news.ycombinator.com/item?id=49587128,2026-09-06T16:40:25+00:00
49582000,Cloud in a Bottle: making self-hosting accessible to everyone,https://cloudinabottle.org/blog/launch-post,541,zplizzi,269,https://news.ycombinator.com/item?id=49582000,2026-09-06T16:40:25+00:00
49580939,The revolt of the reader,https://bcantrill.dtrace.org/2026/09/05/the-revolt-of-the-reader/,501,chmaynard,238,https://news.ycombinator.com/item?id=49580939,2026-09-06T16:40:25+00:00
49541888,Music Theory for Programmers,https://runjs.app/blog/music-theory-for-programmers,271,birdculture,173,https://news.ycombinator.com/item?id=49541888,2026-09-06T16:40:25+00:00
49529398,"The ColorChecker, photography's most important 24 squares, turns 50",https://www.dpreview.com/news/the-colorchecker-photographys-most-important-24-squares-turns-50/,108,sohkamyung,19,https://news.ycombinator.com/item?id=49529398,2026-09-06T16:40:25+00:00
49582656,"AI, Tools and Transformation",https://www.ben-evans.com/benedictevans/2026/9/3/ai-tools-and-transformation,125,firexcy,56,https://news.ycombinator.com/item?id=49582656,2026-09-06T16:40:25+00:00
49563355,Discovery of a new OpenAI agent message board,https://collusion.wiki/,2241,moultano,1567,https://news.ycombinator.com/item?id=49563355,2026-09-06T16:40:25+00:00
