id,title,url,points,author,comments,hn_link,scraped_at
48989701,"Qwen-Image-3.0: Rich Content, Authentic Details, Deep Knowledge",https://qwen.ai/blog?id=qwen-image-3.0,396,ilreb,167,https://news.ycombinator.com/item?id=48989701,2026-07-21T15:39:55+00:00
48977128,Who's afraid of Chinese models?,https://stratechery.com/2026/whos-afraid-of-chinese-models/,852,mfiguiere,680,https://news.ycombinator.com/item?id=48977128,2026-07-21T15:39:55+00:00
48987822,Incremental – A library for incremental computations,https://github.com/janestreet/incremental,296,handfuloflight,55,https://news.ycombinator.com/item?id=48987822,2026-07-21T15:39:55+00:00
48981620,Jelly UI: Soft-body physics for native HTML form controls,https://jelly-ui.com/,609,baldvinmar,189,https://news.ycombinator.com/item?id=48981620,2026-07-21T15:39:55+00:00
48981703,Kimi Work,https://www.kimi.com/products/kimi-work,633,ms7892,258,https://news.ycombinator.com/item?id=48981703,2026-07-21T15:39:55+00:00
48983382,Human mathematicians are being outcounterexampled,https://xenaproject.wordpress.com/2026/07/20/human-mathematicians-are-being-outcounterexampled/,431,artninja1988,212,https://news.ycombinator.com/item?id=48983382,2026-07-21T15:39:55+00:00
48987846,Running Doom on Our Custom CPU and Going Viral,https://www.armaangomes.com/blogs/doom/,115,arghunter,30,https://news.ycombinator.com/item?id=48987846,2026-07-21T15:39:55+00:00
48982681,Nativ: Run frontier open models locally on your Mac,https://blaizzy.github.io/nativ/,339,aratahikaru5,116,https://news.ycombinator.com/item?id=48982681,2026-07-21T15:39:55+00:00
48984254,"Show HN: Immersive Gaussian Splat tour of grace cathedral, San Francisco",https://vincentwoo.com/3d/grace_cathedral/,232,akanet,50,https://news.ycombinator.com/item?id=48984254,2026-07-21T15:39:55+00:00
48991139,New US homeownership measure puts people first,https://www.minneapolisfed.org/article/2026/new-homeownership-measure-puts-people-first,169,throw0101a,236,https://news.ycombinator.com/item?id=48991139,2026-07-21T15:39:55+00:00
48982535,Agent swarms and the new model economics,https://cursor.com/blog/agent-swarm-model-economics,250,jlaneve,118,https://news.ycombinator.com/item?id=48982535,2026-07-21T15:39:55+00:00
48984270,I wrote an bash enumerator because I was sick of xargs,https://numerlab.org/2025/07/20/bashumerate-enumerator/,178,wallach-game,162,https://news.ycombinator.com/item?id=48984270,2026-07-21T15:39:55+00:00
48923130,The Psychology of Software Teams,https://www.routledge.com/The-Psychology-of-Software-Teams/Hicks/p/book/9781032963389,149,dcre,49,https://news.ycombinator.com/item?id=48923130,2026-07-21T15:39:55+00:00
48980520,I Stopped “Creating Content”,https://refactoringenglish.com/blog/why-i-stopped-creating-content/,249,mtlynch,201,https://news.ycombinator.com/item?id=48980520,2026-07-21T15:39:55+00:00
48979269,China’s open-weights AI strategy is winning,https://werd.io/american-ai-is-locked-down-and-proprietary-its-losing/,1179,benwerd,894,https://news.ycombinator.com/item?id=48979269,2026-07-21T15:39:55+00:00
