id,title,url,points,author,comments,hn_link,scraped_at
48804297,Aluminum foil (2021),https://dernocua.github.io/notes/aluminum-foil.html,113,firephox,40,https://news.ycombinator.com/item?id=48804297,2026-07-06T16:49:32+00:00
48803364,Road to Elm 1.0,https://elm-lang.org/news/faster-builds,200,wolfadex,86,https://news.ycombinator.com/item?id=48803364,2026-07-06T16:49:32+00:00
48802535,Real-time map of Great Britain's rail network,https://www.map.signalbox.io,309,scrlk,121,https://news.ycombinator.com/item?id=48802535,2026-07-06T16:49:32+00:00
48767211,Clojure 1.13 adds support for checked keys,https://clojure.org/news/2026/07/02/clojure-1-13-alpha1,105,FelipeCortez,16,https://news.ycombinator.com/item?id=48767211,2026-07-06T16:49:32+00:00
48804123,How Kalshi Infects the News,https://www.publicnotice.co/p/kalshi-cnn-cnbc,144,everybodyknows,96,https://news.ycombinator.com/item?id=48804123,2026-07-06T16:49:32+00:00
48760424,Introduction to Genomics for Engineers,https://learngenomics.dev/docs/biological-foundations/cells-genomes-dna-chromosomes/,157,yreg,25,https://news.ycombinator.com/item?id=48760424,2026-07-06T16:49:32+00:00
48804193,Nintendo announces new product revisions in Europe with replaceable batteries,https://www.nintendo.com/en-gb/Support/Nintendo-Switch-2/Information-about-upcoming-battery-related-revisions-to-some-Nintendo-products-3132901.html,171,akyuu,117,https://news.ycombinator.com/item?id=48804193,2026-07-06T16:49:32+00:00
48799614,GPT-5.6 Sol Ultra will be in Codex,https://twitter.com/thsottiaux/status/2073933490513752151,383,mfiguiere,340,https://news.ycombinator.com/item?id=48799614,2026-07-06T16:49:32+00:00
48799155,Has_not_been_viewed_much,https://iamwillwang.com/notes/has-not-been-viewed-much/,428,wxw,118,https://news.ycombinator.com/item?id=48799155,2026-07-06T16:49:32+00:00
48799929,Building relationships with customers through support didn't turn out as hoped,https://www.uncommonapps.nyc/p/castro-podcasts-things-i-got-wrong-support,269,dabluck,164,https://news.ycombinator.com/item?id=48799929,2026-07-06T16:49:32+00:00
48803347,C programmers commit fresh crimes against readability,https://www.theregister.com/offbeat/2026/07/05/c-programmers-commit-fresh-crimes-against-readability/5265981,104,Bender,16,https://news.ycombinator.com/item?id=48803347,2026-07-06T16:49:32+00:00
