id,title,url,points,author,comments,hn_link,scraped_at
49729000,Small Programming Tricks,https://will-keleher.com/posts/small-programming-tricks-matter/,119,signa11,74,https://news.ycombinator.com/item?id=49729000,2026-09-16T17:54:27+00:00
49726955,Dream-RSI: Recursive Self-Improvement through Evolving Worlds,https://arxiv.org/abs/2609.14858,113,bananaflag,33,https://news.ycombinator.com/item?id=49726955,2026-09-16T17:54:27+00:00
49723408,"Mistral X Mozilla: Private, Multilingual AI Browsing",https://mistral.ai/news/mistral-x-mozilla/,394,vertigoruntime,139,https://news.ycombinator.com/item?id=49723408,2026-09-16T17:54:27+00:00
49717558,Introducing System One Models and Jev,https://typesafe.ai/blog/introducing-system-one-models-and-jev,1727,albelfio,461,https://news.ycombinator.com/item?id=49717558,2026-09-16T17:54:27+00:00
49710903,Tell the speakers that you liked their talks,https://ohhelloana.blog/tell-the-speakers/,128,whisper2020,33,https://news.ycombinator.com/item?id=49710903,2026-09-16T17:54:27+00:00
49711544,Show HN: An e-ink frame that hears birds and draws them as 1800s illustrations,https://github.com/arnegiacomo/fugleramme,1893,arnemunthekaas,223,https://news.ycombinator.com/item?id=49711544,2026-09-16T17:54:27+00:00
49721322,Apple Reference Image: A New Approach for Verified Photography,https://security.apple.com/blog/apple-reference-image/,445,imwally,294,https://news.ycombinator.com/item?id=49721322,2026-09-16T17:54:27+00:00
49726586,Hackers Got Inside a Flock Camera,https://www.wired.com/story/hackers-flock-camera-data-shows-how-system-works/,304,driverdan,144,https://news.ycombinator.com/item?id=49726586,2026-09-16T17:54:27+00:00
49724927,The Google Play app review process now regularly takes longer than a week,https://gultsch.social/@daniel/117280438824908947,276,inputmice,257,https://news.ycombinator.com/item?id=49724927,2026-09-16T17:54:27+00:00
49716176,An update on Wayback Machine access,https://blog.archive.org/2026/09/15/an-update-on-wayback-machine-access/,654,ChrisArchitect,339,https://news.ycombinator.com/item?id=49716176,2026-09-16T17:54:27+00:00
49725356,Original Sony PlayStation 2 security chip 'broken wide open' after 26 years,https://www.tomshardware.com/video-games/playstation/26-year-old-sony-ps2-security-chip-broken-wide-open-after-four-years-of-effort-reverse-engineering-enthusiast-successfully-unlocks-cxp102064-mechacon-chip,199,rbanffy,58,https://news.ycombinator.com/item?id=49725356,2026-09-16T17:54:27+00:00
49724488,Salesforce Global Outage,https://status.salesforce.com/products/all,232,mabil,136,https://news.ycombinator.com/item?id=49724488,2026-09-16T17:54:27+00:00
49693971,"Show HN: I made a flight simulator, except you're just a passenger",https://inflightsimulator.com,345,rkotcher,191,https://news.ycombinator.com/item?id=49693971,2026-09-16T17:54:27+00:00
49715947,Gemini 3.8 Live and 3.8 Live Extended Thinking,https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-8-live-gemini-3-8-live-extended-thinking/,474,leumon,314,https://news.ycombinator.com/item?id=49715947,2026-09-16T17:54:27+00:00
49715927,Why I'm still bearish on LLMs after Navier-Stokes,https://dank.systems/posts/2026-09-15-ai-bear.html,402,jaykru,515,https://news.ycombinator.com/item?id=49715927,2026-09-16T17:54:27+00:00
49705944,Doing Everyone Else's Job,https://yosefk.com/blog/doing-everyone-elses-job.html,177,luu,84,https://news.ycombinator.com/item?id=49705944,2026-09-16T17:54:27+00:00
49694035,Intelligence per Watt: Measuring Intelligence Efficiency of Local AI,https://arxiv.org/abs/2511.07885,136,pythonic_hell,46,https://news.ycombinator.com/item?id=49694035,2026-09-16T17:54:27+00:00
49725800,DeepSeek v4.1 Flash Is Now Our Best Hacking Model,https://enclave.ai/blog/deepseek-v41-flash-is-now-our-best-hacking-model,118,talhof8,46,https://news.ycombinator.com/item?id=49725800,2026-09-16T17:54:27+00:00
