id,title,url,points,author,comments,hn_link,scraped_at
49294997,GLM-5.3: Frontier coding with emergent cyber capabilities,https://z.ai/blog/glm-5.3,789,pella,398,https://news.ycombinator.com/item?id=49294997,2026-08-14T14:46:19+00:00
49249523,"Don't classify, hallucinate!",https://softwaredoug.com/blog/2026/08/10/hypothetical-classifications,104,softwaredoug,55,https://news.ycombinator.com/item?id=49249523,2026-08-14T14:46:19+00:00
49296627,DeepSeek peak/off-peak pricing update,https://api-docs.deepseek.com/news/news260813/,150,fagnerbrack,77,https://news.ycombinator.com/item?id=49296627,2026-08-14T14:46:19+00:00
49289112,Gemini 3.7 Flash,https://blog.google/innovation-and-ai/models-and-research/gemini-models/introducing-gemini-3-7-flash/,920,thisisauserid,463,https://news.ycombinator.com/item?id=49289112,2026-08-14T14:46:19+00:00
49296740,Why does Opus 5 feel worse to work with?,https://mun-logadan.github.io/why-does-opus-5-feel-worse/,317,numeri,302,https://news.ycombinator.com/item?id=49296740,2026-08-14T14:46:19+00:00
49290166,"Hello, me. It's been a while",https://themech.net/2026/08/hello-me-its-been-a-while/,316,somesoftdev,166,https://news.ycombinator.com/item?id=49290166,2026-08-14T14:46:19+00:00
49289844,Accelerating GPT-5.6 Sol Ultrafast,https://www.cerebras.ai/blog/accelerating-gpt-5-6-sol-ultrafast-with-openai,668,pr337h4m,262,https://news.ycombinator.com/item?id=49289844,2026-08-14T14:46:19+00:00
49285244,DeepSeek Harness developer preview,https://deepseek.com/harness/en/,703,bjin,284,https://news.ycombinator.com/item?id=49285244,2026-08-14T14:46:19+00:00
49286341,Spaghettifying DRAM,https://github.com/xoreaxeaxeax/skitter-creek-bath-salts,677,matt_d,169,https://news.ycombinator.com/item?id=49286341,2026-08-14T14:46:19+00:00
49288889,Mistral OCR 4.1,https://docs.mistral.ai/models/ocr-4-1,390,spelk,156,https://news.ycombinator.com/item?id=49288889,2026-08-14T14:46:19+00:00
49293324,Bluesky Protocol Services,https://atproto.com/blog/introducing-bluesky-protocol-services,199,danabramov,52,https://news.ycombinator.com/item?id=49293324,2026-08-14T14:46:19+00:00
49290299,Understanding is the new bottleneck,https://www.geoffreylitt.com/2026/07/02/understanding-is-the-new-bottleneck,397,sebg,216,https://news.ycombinator.com/item?id=49290299,2026-08-14T14:46:19+00:00
49289512,Choose Boring Technology (2015),https://mcfunley.com/choose-boring-technology,394,tosh,219,https://news.ycombinator.com/item?id=49289512,2026-08-14T14:46:19+00:00
49289465,Donkey.bas is 45 Years Old – 131 line of Glory,https://donkeybas.com/,264,jkrauska,135,https://news.ycombinator.com/item?id=49289465,2026-08-14T14:46:19+00:00
49285418,Nine PBS sues Iron Mountain over blocked access to archival data,https://current.org/2026/08/nine-pbs-sues-iron-mountain-over-blocked-access-to-archival-data/,365,vinayakborkar,207,https://news.ycombinator.com/item?id=49285418,2026-08-14T14:46:19+00:00
